 Date;Receipt_number;Shop;Product;Quantity;Price for unit
02.11.2024 12:13;436209;АТБ;улочки 400 г Київхліб Малятко 1г п/ет;1;29.90
02.11.2024 12:13;436209;АТБ;Булочки 400 г Київхліб Малятко 1г п/ет;1;29.90
02.11.2024 12:13;436209;АТБ;Серветки кoсметичні 100+50 шт Своя лінія універс;2;28.90
02.11.2024 12:13;436209;АТБ;Філе курчат-бройлерів Чебатурочка охолоджене газ;0.652;152.99
02.11.2024 12:13;436209;АТБ;Банан 1гат;0.838;55.95
02.11.2024 12:13;436209;АТБ;Мило туалетне тверде 90 г Teo в асортименті  к/у;1;25.80
02.11.2024 12:13;436209;АТБ;Вологий туалетний папір 50 шт Своя лінія алое/Ki;1;27.90
02.11.2024 12:13;436209;АТБ;Сир кисломолочний 350 г Білоцерківський 9% п/ет;1;82.30
02.11.2024 12:29;Mx9uLCIp1-E;Фора;Сир180КислЯготин5%Фп;2;31.90
02.11.2024 12:29;Mx9uLCIp1-E;Фора;Кріп70Пуч;1;21.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;КапустаКгПекінсРання;0.74;59.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;Пал360КрабВодСвОхол;1;94.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;Бул300ПлетенкКрихтКу;1;27.80
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 724399 Суш420КиївхлКиївська;1;43.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 759416 Шпинат75Бебі;1;59.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 444707 Лаваш220КиївхлібВірм;1;31.50
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 933511 Помід400DawtЧищЦіл;1;54.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 871874 Масл180БілоЕкстр82%;1;89.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 32550 ЛимонКг;0.106;59.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 181642 Яйце10ЯсенсвСпрВелС0;1;66.70
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 602921 Тісто500РудьЛисткове;1;49.90
03.11.2024 15:45;cAo_GVkl_Kw;Фора;АРТ.№ 602929 Тісто500РудьЛистДріж;1;49.90
05.11.2024 18:35;A9dVg9T2tCE;Фора;АРТ.№ 889654 Пак37*60*50ФораСеред;1;5.00
05.11.2024 18:35;A9dVg9T2tCE;Фора;АРТ.№ 133868 Печ450КонтиБуратГор;1;65.00
05.11.2024 18:35;A9dVg9T2tCE;Фора;АРТ.№ 249962 Солом100КиївхлібСоло;1;14.90
05.11.2024 18:35;A9dVg9T2tCE;Фора;АРТ.№ 830987 Сос275ГлобинНямІндВг;1;89.90
05.11.2024 18:35;A9dVg9T2tCE;Фора;АРТ.№ 955886 Сочев0,5FavorЧервона;1;53.90
05.11.2024 18:35;A9dVg9T2tCE;Фора;АРТ.№ 845233 Баг150ЧасниковийФора;1;19.90
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 807525 КурКгФілеНРСУЛоток;1.061;165.00
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 940934 Олив300HelcomЛосос;1;59.90
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 857555 Сир220PresТвТр5%Ван;1;56.90
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 923529 Сир180ФермМоцЧедер45;1;54.90
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 32887 ПерецьКгЧервоний;0.476;129.00
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 538208 АвокадоШтReadyToEat;1;74.90
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 916034 Сал75ПучСвіжРукШпин;1;64.90
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 686029 Печ185RoshДКавиПрМол;1;19.29
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 719788 М-з300ТорчЄвроп72%;1;36.40
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 29055 Ш.100KinderT8;1;74.20
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 836544 Паст15АлексГранЯбл;2;11.50
08.11.2024 17:16;O7KV15MABSg        ;Фора;АРТ.№ 947721 Шок90МолRoshWholHaz;1;47.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 820105 Ікра500ВересКабПерч;1;94.50
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 584230 Мол370ПерМККСгущ8,5%;3;74.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 917884 Ананас565IbericШмСир;1;109.00
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 540258 СалатШтАйсберг;1;69.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 865925 Пал220КрабВодСвітЗам;2;49.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 947721 Шок90МолRoshWholHaz;1;47.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 495924 Томат250ЧеррГолубСер;2;74.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 550269 Гірч130ТорчАмерикД/п;1;19.80
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 943197 Круасан90СмМигд;1;29.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 522838 Кріп70Пуч;1;21.90
09.11.2024 16:43;cpzLp_2p1a8;Фора;АРТ.№ 883976 Пахлава200БККМедова;1;84.90
10.11.2024 19:41;J6gD9GaFZ4s;Фора;АРТ.№ 181642 Яйце10ЯсенсвСпрВелС0;1;76.90
10.11.2024 19:41;J6gD9GaFZ4s;Фора;АРТ.№ 370658 ГрибиШамп450ЗелКрСв;1;69.90
10.11.2024 19:41;J6gD9GaFZ4s;Фора;АРТ.№ 947721 Шок90МолRoshWholHaz;1;47.90
10.11.2024 19:41;J6gD9GaFZ4s;Фора;АРТ.№ 950062 СирКгPatComtКамам60%;0.186;779.00
10.11.2024 19:41;J6gD9GaFZ4s;Фора;АРТ.№ 839545 Йог300МолБілБзЛак2.5;1;39.90
11.11.2024 16:39;cq6jOtuxdlE;Фора;АРТ.№ 929284 Рогал300КиївхСтудПос;1;25.90
11.11.2024 16:39;cq6jOtuxdlE;Фора;АРТ.№ 567970 Багет300BouЧіабата;1;29.90
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 890805 Чай100ChelNobHousOpa;1;99.00
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          99.00 =                   99.00 А;АРТ,№;cКосмКр
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 696967 Дис120ВатNicКосмКруг;2;29.99
13.11.2024 14:38;heQ8iql9n-U;Сільпо;2.000         x          29.99 =                   59.98 А;АРТ,№;атЛегСи
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 266448 Анан565ПрШматЛегСир;1;90.49
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          90.49 =                   90.49 А;АРТ,№;100%ЦПш
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 937763 Хл0,325ХБуд100%ЦПшен;1;26.99
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          26.99 =                   26.99 А;АРТ,№;4PЛосЖе
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 768742 Корм100КотC4PЛосЖел;2;14.99
13.11.2024 14:38;heQ8iql9n-U;Сільпо;2.000         x          14.99 =                   29.98 А;АРТ,№;ірСкВсН
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 890288 БастКгМГілФірСкВсНар;0.118;299.00
13.11.2024 14:38;heQ8iql9n-U;Сільпо;0.118         x        1299.00 =                  153.28 А;АРТ,№;tФорКре
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 927551 Корм85КотOptФорКремС;3;24.99
13.11.2024 14:38;heQ8iql9n-U;Сільпо;3.000         x          24.99 =                   74.97 А;АРТ,№;ХвСмСме
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 741690 Чип50KFunПлХвСмСмет;1;19.29
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          19.29 =                   19.29 А;АРТ,№;Фірм
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 723182 Сушки300БККФірм;1;41.59
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          41.59 =                   41.59 А;АРТ,№;УлБ/Лак
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 778675 Верш200НаЗдУлБ/Лак10;1;33.29
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          33.29 =                   33.29 А;АРТ,№;ТрісНат
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 895324 Печ115BangaТрісНатВ*;1;119.00
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x         119.00 =                  119.00 А;АРТ,№;лак5Гор
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 607038 Бат40BakalЗлак5Горіх;1;23.99
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          23.99 =                   23.99 А;АРТ,№;oodЧерв
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 856892 Сочев500FeGoodЧервон;1;61.49
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          61.49 =                   61.49 А;АРТ,№;mGalLif
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 907933 Ц.70RoshYGumGalLife;1;35.49
13.11.2024 14:38;heQ8iql9n-U;Сільпо;1.000         x          35.49 =                   35.49 А;АРТ,№;кладСуд
13.11.2024 14:38;heQ8iql9n-U;Сільпо;АРТ.№ 538471 ЖурналЛізаСкладСудок;1;48.99
